epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.682,1.2746,0.88984,0.98067,0.65578,0.4159,0.4473,0.24944,1.25815,0.7484,0.96283,0.00333257,0.00333257,0.00333257
2,1219.36,1.29741,0.8196,0.98591,0.66459,0.41553,0.45207,0.25103,1.26284,0.74279,0.96508,0.00659991,0.00659991,0.00659991
3,1810.82,1.33409,0.855,1.00447,0.65353,0.40419,0.436,0.23749,1.26749,0.74343,0.97646,0.00980125,0.00980125,0.00980125
4,2402.57,1.32679,0.84361,1.0059,0.67041,0.42599,0.45968,0.25619,1.24511,0.71075,0.96873,0.009703,0.009703,0.009703
5,2993.76,1.29109,0.80002,0.99268,0.69283,0.43756,0.48214,0.27059,1.22662,0.68548,0.96447,0.009604,0.009604,0.009604
6,3592.36,1.27062,0.77573,0.98627,0.69254,0.45342,0.49778,0.27981,1.21462,0.66924,0.95829,0.009505,0.009505,0.009505
7,4187.01,1.25438,0.75785,0.98043,0.71009,0.45911,0.50717,0.28753,1.20557,0.65788,0.95548,0.009406,0.009406,0.009406
8,4787.76,1.24666,0.74735,0.97609,0.71252,0.46953,0.51796,0.29383,1.19877,0.64796,0.95216,0.009307,0.009307,0.009307
9,5375.7,1.24095,0.73975,0.97443,0.7148,0.47656,0.5236,0.29847,1.19487,0.64205,0.95082,0.009208,0.009208,0.009208
10,5964.8,1.23549,0.73292,0.97311,0.71595,0.47793,0.52667,0.30112,1.1923,0.63738,0.95002,0.009109,0.009109,0.009109
11,6555.96,1.22791,0.72572,0.96874,0.71264,0.4809,0.52994,0.30287,1.18935,0.63285,0.94858,0.00901,0.00901,0.00901
12,7156.74,1.22642,0.72255,0.96906,0.71292,0.48496,0.53332,0.30515,1.18665,0.62999,0.94793,0.008911,0.008911,0.008911
13,7754.26,1.22159,0.71685,0.96671,0.71929,0.48436,0.53692,0.30691,1.1853,0.62819,0.94757,0.008812,0.008812,0.008812
14,8349.54,1.21662,0.71176,0.96499,0.72047,0.48757,0.53835,0.3076,1.18386,0.62632,0.94698,0.008713,0.008713,0.008713
15,8940.49,1.21508,0.71067,0.96367,0.72198,0.48777,0.53898,0.30822,1.18273,0.62492,0.94657,0.008614,0.008614,0.008614
16,9533,1.21362,0.70772,0.96393,0.72967,0.48592,0.54065,0.30917,1.18175,0.62381,0.94628,0.008515,0.008515,0.008515
17,10117.4,1.20891,0.70555,0.96319,0.72278,0.49215,0.54176,0.30987,1.18092,0.6227,0.94598,0.008416,0.008416,0.008416
18,10706.7,1.20688,0.70224,0.96186,0.72558,0.49006,0.54229,0.31071,1.18004,0.62165,0.94562,0.008317,0.008317,0.008317
