epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1201.38,1.22208,0.92049,0.92063,0.69432,0.5852,0.6374,0.35998,1.2182,0.80069,0.90618,0.00333181,0.00333181,0.00333181
2,2454.53,1.24765,0.84031,0.92701,0.70977,0.59722,0.65245,0.3705,1.20798,0.77452,0.9097,0.00659916,0.00659916,0.00659916
3,3692.62,1.28368,0.8756,0.94077,0.69264,0.57867,0.62741,0.35576,1.23764,0.8037,0.92022,0.00980051,0.00980051,0.00980051
4,4933.43,1.27932,0.86811,0.94332,0.71132,0.60626,0.6584,0.37643,1.20304,0.74853,0.91118,0.009703,0.009703,0.009703
5,6171.92,1.23935,0.81996,0.9295,0.72315,0.62241,0.67649,0.39128,1.17345,0.71414,0.90038,0.009604,0.009604,0.009604
6,7418.97,1.2192,0.79587,0.92278,0.72954,0.63573,0.69237,0.40162,1.15823,0.69337,0.8946,0.009505,0.009505,0.009505
7,8660.71,1.20381,0.77845,0.91813,0.73277,0.64357,0.70061,0.40806,1.14742,0.67887,0.89148,0.009406,0.009406,0.009406
8,9913.2,1.19446,0.76639,0.91534,0.73527,0.65179,0.70742,0.41314,1.13916,0.66646,0.88879,0.009307,0.009307,0.009307
9,11153,1.18482,0.75721,0.91242,0.73927,0.65343,0.71115,0.41654,1.13412,0.66073,0.8882,0.009208,0.009208,0.009208
10,12377.4,1.17874,0.74999,0.91063,0.74009,0.65864,0.71521,0.41994,1.12882,0.65461,0.88691,0.009109,0.009109,0.009109
11,13610.6,1.17441,0.74458,0.90963,0.74192,0.66089,0.71805,0.4222,1.12545,0.64956,0.88565,0.00901,0.00901,0.00901
12,14852.2,1.16958,0.73962,0.90822,0.74055,0.66523,0.72045,0.42372,1.12311,0.64624,0.88486,0.008911,0.008911,0.008911
13,16094.1,1.16495,0.73314,0.90686,0.74281,0.66519,0.72242,0.42562,1.12125,0.64357,0.88442,0.008812,0.008812,0.008812
14,17327.7,1.16346,0.73197,0.90608,0.74179,0.6686,0.72354,0.42649,1.11896,0.64196,0.88372,0.008713,0.008713,0.008713
15,18571,1.15888,0.72752,0.90478,0.74295,0.66976,0.7255,0.42769,1.11739,0.64012,0.88326,0.008614,0.008614,0.008614
16,19806.4,1.15474,0.72386,0.90444,0.74162,0.67149,0.72644,0.42844,1.11661,0.63859,0.88307,0.008515,0.008515,0.008515
17,21052.9,1.15546,0.72226,0.90401,0.74351,0.67193,0.72747,0.42898,1.11611,0.63779,0.88281,0.008416,0.008416,0.008416
18,22292.1,1.15318,0.71928,0.90306,0.74515,0.67208,0.72831,0.42956,1.11559,0.63687,0.88272,0.008317,0.008317,0.008317
19,23530.8,1.14718,0.71506,0.90251,0.74463,0.6736,0.72895,0.42993,1.11485,0.63595,0.88259,0.008218,0.008218,0.008218
20,24762.4,1.1467,0.71328,0.90115,0.74452,0.6744,0.72957,0.43036,1.1143,0.63538,0.88245,0.008119,0.008119,0.008119
21,26002.5,1.14598,0.71221,0.90184,0.7453,0.67344,0.72981,0.4306,1.11377,0.63459,0.88229,0.00802,0.00802,0.00802
22,27230.9,1.14367,0.70966,0.90102,0.74679,0.67334,0.73016,0.43104,1.11324,0.63381,0.88222,0.007921,0.007921,0.007921
23,28466.3,1.1419,0.70801,0.90102,0.7469,0.67368,0.73051,0.43129,1.11291,0.63335,0.88221,0.007822,0.007822,0.007822
24,29687.8,1.14183,0.70806,0.90112,0.74708,0.67437,0.73112,0.43175,1.11242,0.63258,0.88213,0.007723,0.007723,0.007723
25,30920.8,1.14056,0.70629,0.9008,0.74799,0.6747,0.73147,0.43233,1.11184,0.63187,0.88203,0.007624,0.007624,0.007624
26,32153.4,1.13918,0.70565,0.9006,0.74854,0.67415,0.73174,0.43261,1.11147,0.63117,0.88201,0.007525,0.007525,0.007525
27,33388,1.13631,0.70119,0.89922,0.7481,0.67504,0.7325,0.43297,1.11064,0.63032,0.88181,0.007426,0.007426,0.007426
28,34617.2,1.13356,0.70008,0.89788,0.74849,0.67567,0.73334,0.43339,1.1102,0.62969,0.88168,0.007327,0.007327,0.007327
29,35856,1.1337,0.6991,0.89773,0.74782,0.67699,0.73416,0.43383,1.10964,0.6291,0.88149,0.007228,0.007228,0.007228
30,37077.9,1.13301,0.69787,0.89892,0.74824,0.67706,0.73471,0.43452,1.10925,0.62833,0.8815,0.007129,0.007129,0.007129
31,38310.5,1.13055,0.69722,0.89694,0.7473,0.67901,0.73554,0.4351,1.10889,0.62789,0.88133,0.00703,0.00703,0.00703
32,39553.1,1.12979,0.69488,0.89654,0.74825,0.67845,0.73577,0.43544,1.1084,0.62727,0.88113,0.006931,0.006931,0.006931
33,40781.4,1.1286,0.69252,0.89671,0.74844,0.679,0.73635,0.43573,1.10794,0.62648,0.88089,0.006832,0.006832,0.006832
34,42022.5,1.12946,0.69211,0.8955,0.74694,0.68052,0.73683,0.43613,1.10736,0.62564,0.8806,0.006733,0.006733,0.006733
35,43250.5,1.12637,0.69195,0.89652,0.74763,0.68027,0.73714,0.43648,1.10688,0.62484,0.88058,0.006634,0.006634,0.006634
36,44487,1.12624,0.69075,0.89663,0.74828,0.68088,0.73774,0.43697,1.10653,0.62422,0.88049,0.006535,0.006535,0.006535
37,45720.9,1.12626,0.68972,0.89534,0.74868,0.68073,0.73799,0.43736,1.10624,0.62364,0.8803,0.006436,0.006436,0.006436
38,46949.8,1.12297,0.68786,0.89545,0.74821,0.68211,0.73864,0.4376,1.10588,0.62299,0.88019,0.006337,0.006337,0.006337
39,48175.2,1.12111,0.68506,0.89473,0.74982,0.68137,0.73919,0.43794,1.10549,0.62272,0.88007,0.006238,0.006238,0.006238
40,49408.1,1.11991,0.68615,0.8943,0.75037,0.68178,0.73953,0.43833,1.10511,0.62228,0.87996,0.006139,0.006139,0.006139
41,50646.5,1.11882,0.68426,0.89436,0.75035,0.68244,0.73997,0.43875,1.10459,0.62176,0.87987,0.00604,0.00604,0.00604
