epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1234.59,1.22407,1.06824,0.92175,0.5206,0.36994,0.35737,0.21841,1.23698,0.85715,0.9045,0.00333181,0.00333181,0.00333181
2,2483.41,1.24433,0.9067,0.92394,0.48479,0.36844,0.37933,0.23933,1.20639,0.81772,0.90497,0.00659916,0.00659916,0.00659916
3,3729.22,1.27924,0.94466,0.93741,0.38583,0.36285,0.35164,0.21409,1.24504,0.86083,0.92019,0.00980051,0.00980051,0.00980051
4,4969.74,1.27785,0.93863,0.93971,0.53883,0.37916,0.3822,0.24216,1.19959,0.79241,0.90659,0.009703,0.009703,0.009703
5,6208.61,1.23824,0.88187,0.92736,0.42927,0.40014,0.4017,0.25612,1.17398,0.76252,0.89906,0.009604,0.009604,0.009604
6,7445.68,1.21848,0.85505,0.92148,0.57886,0.41996,0.4302,0.27763,1.15648,0.73181,0.89391,0.009505,0.009505,0.009505
7,8689.24,1.20276,0.83518,0.91649,0.4434,0.43787,0.43689,0.28333,1.14552,0.7187,0.88989,0.009406,0.009406,0.009406
8,9935.27,1.19279,0.82116,0.91299,0.60951,0.42419,0.4471,0.29061,1.13747,0.70565,0.88763,0.009307,0.009307,0.009307
9,11171.1,1.18355,0.81076,0.91062,0.4715,0.44943,0.45346,0.2964,1.13339,0.69876,0.88606,0.009208,0.009208,0.009208
10,12413.9,1.17786,0.80257,0.90873,0.60502,0.42875,0.45701,0.2979,1.12847,0.69265,0.88481,0.009109,0.009109,0.009109
11,13650.1,1.17299,0.79611,0.9081,0.69214,0.43953,0.4613,0.30157,1.12472,0.68802,0.88416,0.00901,0.00901,0.00901
12,14887.8,1.16888,0.79082,0.90652,0.69332,0.45144,0.46162,0.30267,1.12174,0.68398,0.88335,0.008911,0.008911,0.008911
13,16127.2,1.1645,0.78421,0.90576,0.68695,0.45333,0.46375,0.30427,1.12021,0.68115,0.88324,0.008812,0.008812,0.008812
14,17361.1,1.16248,0.7812,0.90504,0.68557,0.46174,0.46554,0.30613,1.11833,0.67924,0.88287,0.008713,0.008713,0.008713
15,18605.2,1.15849,0.77712,0.90379,0.68708,0.46233,0.46737,0.30703,1.11716,0.6778,0.88256,0.008614,0.008614,0.008614
16,19841.2,1.15435,0.7715,0.90259,0.69673,0.46092,0.46853,0.30799,1.11635,0.6764,0.88229,0.008515,0.008515,0.008515
17,21084.6,1.15419,0.77004,0.90231,0.70449,0.45933,0.46958,0.30888,1.11557,0.67503,0.88192,0.008416,0.008416,0.008416
18,22321.2,1.15138,0.76612,0.90109,0.70305,0.45749,0.46968,0.30893,1.11486,0.67389,0.88177,0.008317,0.008317,0.008317
19,23553.1,1.14601,0.7629,0.9008,0.7093,0.45697,0.47066,0.30978,1.11426,0.67302,0.88169,0.008218,0.008218,0.008218
20,24787.6,1.14527,0.7617,0.90001,0.70809,0.45926,0.47091,0.30964,1.11345,0.67216,0.88153,0.008119,0.008119,0.008119
21,26017.9,1.14548,0.76083,0.89999,0.70879,0.4592,0.47231,0.31096,1.11271,0.67148,0.88126,0.00802,0.00802,0.00802
22,27251,1.14266,0.75721,0.89952,0.71267,0.45711,0.47223,0.31152,1.11199,0.67081,0.88112,0.007921,0.007921,0.007921
23,28480.6,1.14071,0.75538,0.89906,0.71226,0.4598,0.47293,0.31177,1.1112,0.66998,0.88091,0.007822,0.007822,0.007822
24,29718.4,1.14109,0.75513,0.89956,0.72013,0.45943,0.47366,0.31274,1.11075,0.66915,0.88078,0.007723,0.007723,0.007723
25,30950.6,1.14069,0.75231,0.8983,0.71388,0.46148,0.47404,0.3124,1.11003,0.66836,0.88044,0.007624,0.007624,0.007624
26,32182.4,1.13855,0.75173,0.89831,0.71866,0.46211,0.47392,0.31247,1.10962,0.66772,0.88041,0.007525,0.007525,0.007525
27,33413.3,1.13499,0.74799,0.89714,0.716,0.46352,0.47458,0.31319,1.10908,0.66687,0.88021,0.007426,0.007426,0.007426
28,34648.7,1.1337,0.74667,0.8968,0.7121,0.46376,0.47529,0.31365,1.10843,0.66612,0.88006,0.007327,0.007327,0.007327
29,35877.6,1.1329,0.7447,0.89649,0.71683,0.46087,0.47478,0.31339,1.10797,0.66528,0.88001,0.007228,0.007228,0.007228
30,37109.6,1.13234,0.74353,0.8962,0.71426,0.46261,0.47554,0.3136,1.10745,0.66452,0.87985,0.007129,0.007129,0.007129
31,38344.7,1.12977,0.74127,0.89654,0.71753,0.46036,0.47669,0.31472,1.10698,0.66377,0.87975,0.00703,0.00703,0.00703
32,39580.3,1.12981,0.73962,0.89545,0.71778,0.4617,0.47715,0.31521,1.10657,0.66325,0.87952,0.006931,0.006931,0.006931
33,40811.3,1.12882,0.73747,0.89579,0.71522,0.46358,0.47783,0.31624,1.10611,0.66257,0.87936,0.006832,0.006832,0.006832
34,42041.7,1.12936,0.73678,0.89548,0.72705,0.45742,0.47897,0.31813,1.10562,0.66187,0.8793,0.006733,0.006733,0.006733
35,43276.6,1.12611,0.73646,0.8941,0.7279,0.45536,0.47967,0.3189,1.1052,0.66124,0.87913,0.006634,0.006634,0.006634
36,44513,1.12616,0.73659,0.89568,0.72879,0.45493,0.47931,0.31796,1.10471,0.66064,0.87906,0.006535,0.006535,0.006535
37,45745.3,1.12708,0.73483,0.8947,0.72863,0.45362,0.48015,0.3187,1.10438,0.66001,0.87883,0.006436,0.006436,0.006436
38,46974.1,1.12271,0.73254,0.89385,0.72591,0.45693,0.48088,0.3186,1.10392,0.65927,0.87873,0.006337,0.006337,0.006337
39,48207,1.12082,0.72936,0.89355,0.72597,0.45942,0.48151,0.31932,1.10366,0.65862,0.87865,0.006238,0.006238,0.006238
